Country Name,ISO,Time,Time Code,Employment in agriculture (% of total employment) [SL.AGR.EMPL.ZS],"Employers, female (% of employment) [SL.EMP.MPYR.FE.ZS]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (constant 2005 US$) [NY.GDP.PCAP.KD],GDP (constant 2005 US$) [NY.GDP.MKTP.KD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],GINI index (World Bank estimate) [SI.POV.GINI],Income share held by fourth 20% [SI.DST.04TH.20],Income share held by highest 20% [SI.DST.05TH.20],Income share held by lowest 20% [SI.DST.FRST.20],Income share held by second 20% [SI.DST.02ND.20],Income share held by third 20% [SI.DST.03RD.20],"Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]",Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Other taxes (% of revenue) [GC.TAX.OTHR.RV.ZS],"Population, total [SP.POP.TOTL]",Public and publicly guaranteed debt service (% of GNI) [DT.TDS.DPPG.GN.ZS],Ratio of female to male labor force participation rate (%) (national estimate) [SL.TLF.CACT.FM.NE.ZS],Ratio of female to male labor force participation rate (%) (modeled ILO estimate) [SL.TLF.CACT.FM.ZS],Rural population (% of total population) [SP.RUR.TOTL.ZS],Social contributions (% of revenue) [GC.REV.SOCL.ZS],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Taxes on exports (% of tax revenue) [GC.TAX.EXPT.ZS],Taxes on goods and services (% of revenue) [GC.TAX.GSRV.RV.ZS],"Taxes on income, profits and capital gains (% of revenue) [GC.TAX.YPKG.RV.ZS]",Taxes on international trade (% of revenue) [GC.TAX.INTT.RV.ZS],Total debt service (% of GNI) [DT.TDS.DECT.GN.ZS],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],Urban population (% of total) [SP.URB.TOTL.IN.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"
Argentina,ARG,1977,YR1977,..,..,0.253605959289198,6.93414775537995,"5,115.85771476408","137,506,924,348.753",5.33715547572908,..,..,..,..,..,..,..,6.27342219158025,..,26878567,1.885773918012,..,..,18.245,..,..,..,..,..,..,3.32217158376015,8.42708100610843,16.9422865680196,81.755,..,..
Argentina,ARG,1978,YR1978,..,..,0.430419501184093,-4.50612480247693,"4,813.84018976171","131,310,690,725.551",-5.9035559986504,..,..,..,..,..,..,..,2.88258519029789,..,27277742,3.70471521824166,..,..,17.861,..,..,..,..,..,..,5.77491790873002,3.96786174879612,14.3237963724527,82.139,..,..
Argentina,ARG,1979,YR1979,..,..,0.297462920183777,10.2227634648727,"5,227.98371662855","144,734,272,042.515",8.60318395587083,..,..,..,..,..,..,..,8.20114282396119,..,27684530,2.17093290429753,..,..,17.484,..,..,..,..,..,..,3.32486595355772,10.0046187122875,12.8406846409968,82.516,..,..
Argentina,ARG,1980,YR1980,..,..,0.880955110053294,4.15176234244557,"5,363.4060479563","150,743,295,045.788",2.59033575213736,..,..,..,..,..,..,..,8.20970311599664,..,28105889,2.70792865848672,38.9033940348292,..,17.113,..,..,..,..,..,..,5.58549922538477,9.88013754476805,11.5456724604613,82.887,..,2.29999995231628
Argentina,ARG,1981,YR1981,..,..,1.06384544018918,-5.68952800019457,"4,980.72697753105","142,166,713,065.742",-7.13500091180069,..,..,..,..,..,..,..,7.8792052249003,..,28543366,2.82876286189675,..,..,16.687,..,..,..,..,..,..,7.04298876518258,9.73681979352647,14.2929774789471,83.313,..,4.5
Argentina,ARG,1982,YR1982,0.100000001490116,..,0.269252481027723,-4.95717851904031,"4,660.25062313508","135,119,255,304.422",-6.43432888093824,..,..,..,..,..,..,..,6.1333460290735,..,28993989,2.95426031387583,..,..,16.241,..,..,..,..,..,..,6.17646704313095,8.0828915519698,15.6114860999886,83.759,..,4.80000019073486
Argentina,ARG,1983,YR1983,0.300000011920929,..,0.177920358938206,3.8751234240092,"4,765.11753226094","140,355,293,217.07",2.25024183474738,..,..,..,..,..,..,..,4.38498196317556,..,29454739,2.51531998678555,34.577112822706,..,15.806,..,..,..,..,..,..,6.95887396527895,6.00439602668076,14.9876701068591,84.194,..,4.19999980926514
Argentina,ARG,1984,YR1984,0.300000011920929,..,0.338845892416111,2.21177350377226,"4,794.62853193545","143,459,634,403.587",0.619313153866869,..,..,..,..,..,..,..,5.41660512513409,..,29920907,3.46845189966432,..,..,15.379,..,..,..,..,..,..,8.40512107284361,7.47925564194688,12.3463814292217,84.621,..,3.79999995231628
Argentina,ARG,1985,YR1985,..,..,1.03939676921859,-7.58667718413523,"4,362.65656894386","132,575,815,051.846",-9.00949802710191,..,..,..,..,..,..,..,4.27274305713959,..,30388781,5.12459636281824,35.1758800712831,..,14.962,..,..,..,..,..,..,7.44709772337068,5.94404183733723,18.009425070688,85.038,..,5.30000019073486
Argentina,ARG,1986,YR1986,..,..,0.51742270994039,7.87577983041494,"4,634.80159223913","143,017,194,353.708",6.23805745408799,42.79,21.87,48.43,5.11,9.8,14.79,..,1.42729988900833,..,30857242,4.46221857179012,..,..,14.555,..,..,..,..,..,..,6.93891513718712,2.79072453758269,14.4860327921395,85.445,..,4.40000009536743
